name,colors,Colorless,R,U,G,B,W
Cloudspire Skycycle,"[R, W]",0,1,0,0,0,1
Coalstoke Gearhulk,"[B, R]",0,1,0,0,1,0
Coati Scavenger,['G'],0,0,0,1,0,0
Codecracker Hound,['U'],0,0,1,0,0,0
Coerced to Kill,"[B, U]",0,0,1,0,1,0
Coeurl,['W'],0,0,0,0,0,1
Cogwork Wrestler,['U'],0,0,1,0,0,0
Coiling Rebirth,['B'],0,0,0,0,1,0
Cold Case Cracker,['U'],0,0,1,0,0,0
Coliseum Behemoth,['G'],0,0,0,1,0,0
Collectors Cage,['W'],0,0,0,0,0,1
Collectors Vault,['Colorless'],1,0,0,0,0,0
Collision Course,['W'],0,0,0,0,0,1
Colossadactyl,['G'],0,0,0,1,0,0
Colossal Rattlewurm,['G'],0,0,0,1,0,0
Colossification,['G'],0,0,0,1,0,0
Combat Tutorial,['U'],0,0,1,0,0,0
Come Back Wrong,['B'],0,0,0,0,1,0
Comet Crawler,['B'],0,0,0,0,1,0
Command Bridge,['Colorless'],1,0,0,0,0,0
Commercial District,['Colorless'],1,0,0,0,0,0
Common Crook,['B'],0,0,0,0,1,0
Commune with Beavers,['G'],0,0,0,1,0,0
Commune with Evil,['B'],0,0,0,0,1,0
Commune with Nature,['G'],0,0,0,1,0,0
Compass Gnome,['Colorless'],1,0,0,0,0,0
Concealed Courtyard,['Colorless'],1,0,0,0,0,0
Concealed Weapon,['R'],0,1,0,0,0,0
Conceited Witch  Price of Beauty,['B'],0,0,0,0,1,0
Conduct Electricity,['R'],0,1,0,0,0,0
Conductive Machete,['Colorless'],1,0,0,0,0,0
Conduit Pylons,['Colorless'],1,0,0,0,0,0
Confiscate,['U'],0,0,1,0,0,0
Confounding Riddle,['U'],0,0,1,0,0,0
Congregation Gryff,"[G, W]",0,0,0,1,0,1
Connecting the Dots,['R'],0,1,0,0,0,0
Conspiracy Unraveler,['U'],0,0,1,0,0,0
Constrictor Sage,['U'],0,0,1,0,0,0
Consult the Star Charts,['U'],0,0,1,0,0,0
Consumed by Greed,['B'],0,0,0,0,1,0
Consuming Aberration,"[B, U]",0,0,1,0,1,0
Consuming Ashes,['B'],0,0,0,0,1,0
Contested Game Ball,['Colorless'],1,0,0,0,0,0
Convenient Target,['R'],0,1,0,0,0,0
Cooped Up,['W'],0,0,0,0,0,1
Coordinated Clobbering,['G'],0,0,0,1,0,0
Coordinated Maneuver,['W'],0,0,0,0,0,1
Coral Sword,['R'],0,1,0,0,0,0
Cori Mountain Monastery,['Colorless'],1,0,0,0,0,0
Cori Mountain Stalwart,"[R, W]",0,1,0,0,0,1
Cornered by Black Mages,['B'],0,0,0,0,1,0
Cornered Crook,['R'],0,1,0,0,0,0
Corpseberry Cultivator,"[B, G]",0,0,0,1,1,0
Corpses of the Lost,['B'],0,0,0,0,1,0
Corroding Dragonstorm,['B'],0,0,0,0,1,0
Corrupted Conviction,['B'],0,0,0,0,1,0
Corsair Captain,['U'],0,0,1,0,0,0
Coruscation Mage,['R'],0,1,0,0,0,0
Cosmic Spider-Man,"[B, G, R, U, W]",0,1,1,1,1,1
Cosmium Blast,['W'],0,0,0,0,0,1
Cosmium Confluence,['G'],0,0,0,1,0,0
Cosmogoyf,"[B, G]",0,0,0,1,1,0
Cosmogrand Zenith,['W'],0,0,0,0,0,1
Costume Closet,['W'],0,0,0,0,0,1
Council of Echoes,['U'],0,0,1,0,0,0
Count on Luck,['R'],0,1,0,0,0,0
Country Roads,['Colorless'],1,0,0,0,0,0
Courageous Goblin,['R'],0,1,0,0,0,0
Coveted Falcon,['U'],0,0,1,0,0,0
Cracked Skull,['B'],0,0,0,0,1,0
Crackling Cyclops,['R'],0,1,0,0,0,0
Crash and Burn,['R'],0,1,0,0,0,0
Crash Through,['R'],0,1,0,0,0,0
Craterhoof Behemoth,['G'],0,0,0,1,0,0
Crawling Barrens,['Colorless'],1,0,0,0,0,0
Creeping Peeper,['U'],0,0,1,0,0,0
Creosote Heath,['Colorless'],1,0,0,0,0,0
Crime Novelist,['R'],0,1,0,0,0,0
Crimestopper Sprite,['U'],0,0,1,0,0,0
Crossroads Village,['Colorless'],1,0,0,0,0,0
Crossway Troublemakers,['B'],0,0,0,0,1,0
Crowd-Control Warden,"[G, W]",0,0,0,1,0,1
Crow of Dark Tidings,['B'],0,0,0,0,1,0
Cruelclaws Heist,['B'],0,0,0,0,1,0
Cruel Somnophage  Cant Wake Up,['B'],0,0,0,0,1,0
Cruel Truths,['B'],0,0,0,0,1,0
Crumb and Get It,['W'],0,0,0,0,0,1
Crusader of Odric,['W'],0,0,0,0,0,1
Cryogen Relic,['U'],0,0,1,0,0,0
Cryoshatter,['U'],0,0,1,0,0,0
Cryptcaller Chariot,['B'],0,0,0,0,1,0
Cryptex,['Colorless'],1,0,0,0,0,0
Crypt Feaster,['B'],0,0,0,0,1,0
Cryptic Caves,['Colorless'],1,0,0,0,0,0
Cryptic Coat,['U'],0,0,1,0,0,0
Cryptid Inspector,['G'],0,0,0,1,0,0
Crystal Barricade,['W'],0,0,0,0,0,1
Crystal Fragments  Summon Alexander,['Colorless'],1,0,0,0,0,0
Crystal Grotto,['Colorless'],1,0,0,0,0,0
Cult Healer,['W'],0,0,0,0,0,1
Cultivators Caravan,['Colorless'],1,0,0,0,0,0
Culvert Ambusher,['G'],0,0,0,1,0,0
Cunning Coyote,['R'],0,1,0,0,0,0
Curator of Destinies,['U'],0,0,1,0,0,0
Curator of Suns Creation,['R'],0,1,0,0,0,0
Curious Cadaver,"[B, U]",0,0,1,0,1,0
Curious Forager,['G'],0,0,0,1,0,0
Curious Inquiry,['U'],0,0,1,0,0,0
Cursecloth Wrappings,['B'],0,0,0,0,1,0
Cursed Courtier,['W'],0,0,0,0,0,1
Cursed Recording,['R'],0,1,0,0,0,0
Cursed Windbreaker,['U'],0,0,1,0,0,0
Curse of the Werefox,['G'],0,0,0,1,0,0
Cut In,['R'],0,1,0,0,0,0
Cut Propulsion,['R'],0,1,0,0,0,0
Cynical Loner,['B'],0,0,0,0,1,0
Daggerfang Duo,['B'],0,0,0,0,1,0
Daggermaw Megalodon,['U'],0,0,1,0,0,0
Daily Bugle Building,['Colorless'],1,0,0,0,0,0
Daily Bugle Reporters,['W'],0,0,0,0,0,1
Dalkovan Encampment,['Colorless'],1,0,0,0,0,0
Dalkovan Packbeasts,['W'],0,0,0,0,0,1
Damage Control Crew,['G'],0,0,0,1,0,0
Dance of the Tumbleweeds,['G'],0,0,0,1,0,0
Daretti Rocketeer Engineer,['R'],0,1,0,0,0,0
Daring Discovery,['R'],0,1,0,0,0,0
Daring Mechanic,['W'],0,0,0,0,0,1
Daring Thunder-Thief,['U'],0,0,1,0,0,0
Daring Waverider,['U'],0,0,1,0,0,0
Dark Confidant,['B'],0,0,0,0,1,0
Dark Endurance,['B'],0,0,0,0,1,0
Dark Knights Greatsword,['B'],0,0,0,0,1,0
Darkstar Augur,['B'],0,0,0,0,1,0
Darksteel Colossus,['Colorless'],1,0,0,0,0,0
Dashing Bloodsucker,['B'],0,0,0,0,1,0
Dauntless Dismantler,['W'],0,0,0,0,0,1
Dauntless Scrapbot,['Colorless'],1,0,0,0,0,0
Dauntless Veteran,['W'],0,0,0,0,0,1
Dawnsire Sunstar Dreadnought,['Colorless'],1,0,0,0,0,0
Dawnstrike Vanguard,['W'],0,0,0,0,0,1
Dawns Truce,['W'],0,0,0,0,0,1
Dawnwing Marshal,['W'],0,0,0,0,0,1
Day of Judgment,['W'],0,0,0,0,0,1
Dazzling Angel,['W'],0,0,0,0,0,1
Dazzling Denial,['U'],0,0,1,0,0,0
Dazzling Theater  Prop Room,['W'],0,0,0,0,0,1
Deadeye Duelist,['R'],0,1,0,0,0,0
Deadly Brew,"[B, G]",0,0,0,1,1,0
Deadly Complication,"[B, R]",0,1,0,0,1,0
Deadly Cover-Up,['B'],0,0,0,0,1,0
Deadly Embrace,['B'],0,0,0,0,1,0
Deadly Plot,['B'],0,0,0,0,1,0
Deadly Riposte,['W'],0,0,0,0,0,1
Dead Weight,['B'],0,0,0,0,1,0
Death Baron,['B'],0,0,0,0,1,0
Death Begets Life,"[B, G, U]",0,0,1,1,1,0
Deathcap Marionette,['B'],0,0,0,0,1,0
Deathless Pilot,['B'],0,0,0,0,1,0
Deathmark,['B'],0,0,0,0,1,0
Debris Beetle,"[B, G]",0,0,0,1,1,0
Debris Field Crusher,['R'],0,1,0,0,0,0
Decadent Dragon  Expensive Taste,['R'],0,1,0,0,0,0
Decode Transmissions,['B'],0,0,0,0,1,0
Deconstruction Hammer,['W'],0,0,0,0,0,1
Deduce,['U'],0,0,1,0,0,0
Deep-Cavern Bat,['B'],0,0,0,0,1,0
Deepfathom Echo,"[G, U]",0,0,1,1,0,0
Deep Goblin Skulltaker,['B'],0,0,0,0,1,0
Deepmuck Desperado,['U'],0,0,1,0,0,0
Deeproot Pilgrimage,['U'],0,0,1,0,0,0
Defend the Rider,['G'],0,0,0,1,0,0
Defenestrated Phantom,['W'],0,0,0,0,0,1
Defiant Survivor,['G'],0,0,0,1,0,0
Defibrillating Current,"[B, R, W]",0,1,0,0,1,1
Defiled Crypt  Cadaver Lab,['B'],0,0,0,0,1,0
Defossilize,['B'],0,0,0,0,1,0
Delivery Moogle,['W'],0,0,0,0,0,1
Delney Streetwise Lookout,['W'],0,0,0,0,0,1
Delta Bloodflies,['B'],0,0,0,0,1,0
Demand Answers,['R'],0,1,0,0,0,0
Demolition Field,['Colorless'],1,0,0,0,0,0
Demonic Counsel,['B'],0,0,0,0,1,0
Demonic Junker,['B'],0,0,0,0,1,0
Demonic Pact,['B'],0,0,0,0,1,0
Demonic Ruckus,['R'],0,1,0,0,0,0
Demon Wall,['B'],0,0,0,0,1,0
Depressurize,['B'],0,0,0,0,1,0
Derelict Attic  Widows Walk,['B'],0,0,0,0,1,0
Descendant of Storms,['W'],0,0,0,0,0,1
Desculpting Blast,['U'],0,0,1,0,0,0
Desecration Demon,['B'],0,0,0,0,1,0
Deserts Due,['B'],0,0,0,0,1,0
Desperate Bloodseeker,['B'],0,0,0,0,1,0
Desperate Measures,['B'],0,0,0,0,1,0
Detectives Satchel,"[R, U]",0,1,1,0,0,0
Detention Chariot,['W'],0,0,0,0,0,1
Devastating Onslaught,['R'],0,1,0,0,0,0
Devoted Duelist,['R'],0,1,0,0,0,0
Devouring Sugarmaw  Have for Dinner,['B'],0,0,0,0,1,0
Devout Decree,['W'],0,0,0,0,0,1
Dewdrop Cure,['W'],0,0,0,0,0,1
Diamond Mare,['Colorless'],1,0,0,0,0,0
Diamond Pick-Axe,['R'],0,1,0,0,0,0
Diamond Weapon,['G'],0,0,0,1,0,0
Dictate of Kruphix,['U'],0,0,1,0,0,0
Didact Echo,['U'],0,0,1,0,0,0
Digsite Conservator,['Colorless'],1,0,0,0,0,0
Diminisher Witch,['U'],0,0,1,0,0,0
Dimir Guildgate,['Colorless'],1,0,0,0,0,0
Dinotomaton,['R'],0,1,0,0,0,0
Dion Bahamuts Dominant  Bahamut Warden of Light,['Colorless'],1,0,0,0,0,0
Diplomatic Relations,['G'],0,0,0,1,0,0
Dire Downdraft,['U'],0,0,1,0,0,0
Dire Flail  Dire Blunderbuss,['Colorless'],1,0,0,0,0,0
Diregraf Ghoul,['B'],0,0,0,0,1,0
Diresight,['B'],0,0,0,0,1,0
Dirgur Island Dragon  Skimming Strike,['U'],0,0,1,0,0,0
Discerning Financier,['W'],0,0,0,0,0,1
Discerning Peddler,['R'],0,1,0,0,0,0
Disdainful Stroke,['U'],0,0,1,0,0,0
Disenchant,['W'],0,0,0,0,0,1
Dismal Backwater,['Colorless'],1,0,0,0,0,0
Dispelling Exhale,['U'],0,0,1,0,0,0
Disruptive Stormbrood  Petty Revenge,['G'],0,0,0,1,0,0
Disruptor Wanderglyph,['Colorless'],1,0,0,0,0,0
Dissection Tools,['Colorless'],1,0,0,0,0,0
District Mascot,['G'],0,0,0,1,0,0
Disturbed Slumber,['G'],0,0,0,1,0,0
Disturbing Mirth,"[B, R]",0,1,0,0,1,0
Dive Down,['U'],0,0,1,0,0,0
Diversion Specialist,['R'],0,1,0,0,0,0
Diversion Unit,['U'],0,0,1,0,0,0
Divert Disaster,['U'],0,0,1,0,0,0
Divine Resilience,['W'],0,0,0,0,0,1
Djinn of Fools Fall,['U'],0,0,1,0,0,0
Doc Aurlock Grizzled Genius,"[G, U]",0,0,1,1,0,0
Dockworker Drone,['W'],0,0,0,0,0,1
Doc Ocks Henchmen,['U'],0,0,1,0,0,0
Doc Ock Sinister Scientist,['U'],0,0,1,0,0,0
Doc Ocks Tentacles,['Colorless'],1,0,0,0,0,0
Doctor Octopus Master Planner,"[B, U]",0,0,1,0,1,0
Dog Walker,"[R, W]",0,1,0,0,0,1
Dollmakers Shop  Porcelain Gallery,['W'],0,0,0,0,0,1
Dont Make a Sound,['U'],0,0,1,0,0,0
Doomsday Excruciator,['B'],0,0,0,0,1,0
Doorkeeper Thrull,['W'],0,0,0,0,0,1
Doppelgang,"[G, U]",0,0,1,1,0,0
Double Down,['U'],0,0,1,0,0,0
Doubling Season,['G'],0,0,0,1,0,0
Dour Port-Mage,['U'],0,0,1,0,0,0
Downwind Ambusher,['B'],0,0,0,0,1,0
Dowsing Device  Geode Grotto,['Colorless'],1,0,0,0,0,0
Dracogenesis,['R'],0,1,0,0,0,0
Draconautics Engineer,['R'],0,1,0,0,0,0
Dracosaur Auxiliary,['R'],0,1,0,0,0,0
Dragonback Assault,"[G, R, U]",0,1,1,1,0,0
Dragonback Lancer,['W'],0,0,0,0,0,1
Dragonbroods Relic,['G'],0,0,0,1,0,0
Dragonclaw Strike,"[G, R, U]",0,1,1,1,0,0
Dragonfire Blade,['Colorless'],1,0,0,0,0,0
Dragon Fodder,['R'],0,1,0,0,0,0
Dragonhawk Fates Tempest,['R'],0,1,0,0,0,0
Dragonlords Servant,['R'],0,1,0,0,0,0
Dragon Mage,['R'],0,1,0,0,0,0
Dragonmaster Outcast,['R'],0,1,0,0,0,0
Dragonologist,['U'],0,0,1,0,0,0
Dragon Sniper,['G'],0,0,0,1,0,0
Dragons Prey,['B'],0,0,0,0,1,0
Dragonstorm Forecaster,['U'],0,0,1,0,0,0
Dragonstorm Globe,['Colorless'],1,0,0,0,0,0
Dragon Trainer,['R'],0,1,0,0,0,0
Dragoons Lance,['W'],0,0,0,0,0,1
Dragoons Wyvern,['U'],0,0,1,0,0,0
Drag the Canal,"[B, U]",0,0,1,0,1,0
Drag to the Roots,"[B, G]",0,0,0,1,1,0
Drake Hatcher,['U'],0,0,1,0,0,0
Drakuseth Maw of Flames,['R'],0,1,0,0,0,0
Dramatic Accusation,['U'],0,0,1,0,0,0
Dreadmaws Ire,['R'],0,1,0,0,0,0
Dread Summons,['B'],0,0,0,0,1,0
Dreadwing Scavenger,"[B, U]",0,0,1,0,1,0
Dreamdew Entrancer,"[G, U]",0,0,1,1,0,0
Dreams of Laguna,['U'],0,0,1,0,0,0
Dream Spoilers,['B'],0,0,0,0,1,0
Dredgers Insight,['G'],0,0,0,1,0,0
Driftgloom Coyote,['W'],0,0,0,0,0,1
Drill Too Deep,['R'],0,1,0,0,0,0
Driver of the Dead,['B'],0,0,0,0,1,0
Drix Fatemaker,['G'],0,0,0,1,0,0
Drogskol Reaver,"[U, W]",0,0,1,0,0,1
Dropkick Bomber,['R'],0,1,0,0,0,0
Drover Grizzly,['G'],0,0,0,1,0,0
Druid of the Cowl,['G'],0,0,0,1,0,0
Druid of the Spade,['G'],0,0,0,1,0,0
Dryad Militant,"[G, W]",0,0,0,1,0,1
Dual-Sun Adepts,['W'],0,0,0,0,0,1
Dual-Sun Technique,['W'],0,0,0,0,0,1
Dubious Delicacy,['B'],0,0,0,0,1,0
Due Diligence,['W'],0,0,0,0,0,1
Duelist of the Mind,['U'],0,0,1,0,0,0
Dune Drifter,"[B, W]",0,0,0,0,1,1
Duress,['B'],0,0,0,0,1,0
Duskmourns Domination,['U'],0,0,1,0,0,0
Dusk Rose Reliquary,['W'],0,0,0,0,0,1
Dust Animus,['W'],0,0,0,0,0,1
Dusyut Earthcarver,['G'],0,0,0,1,0,0
Dutiful Griffin,['W'],0,0,0,0,0,1
Duty Beyond Death,['W'],0,0,0,0,0,1
Dwarven Castle Guard,['W'],0,0,0,0,0,1
Dwynen Gilt-Leaf Daen,['G'],0,0,0,1,0,0
Dwynens Elite,['G'],0,0,0,1,0,0
Dyadrine Synthesis Amalgam,"[G, W]",0,0,0,1,0,1
Dynamite Diver,['R'],0,1,0,0,0,0
Eager Trufflesnout,['G'],0,0,0,1,0,0
Early Winter,['B'],0,0,0,0,1,0
Earthrumbler,['G'],0,0,0,1,0,0
Earthshaker Dreadmaw,['G'],0,0,0,1,0,0
Eaten Alive,['B'],0,0,0,0,1,0
Eaten by Piranhas,['U'],0,0,1,0,0,0
Echoing Deeps,['Colorless'],1,0,0,0,0,0
Echo of Dusk,['B'],0,0,0,0,1,0
Eddie Brock  Venom Lethal Protector,['Colorless'],1,0,0,0,0,0
Eddymurk Crab,['U'],0,0,1,0,0,0
Eden Seat of the Sanctum,['Colorless'],1,0,0,0,0,0
Edgar King of Figaro,['U'],0,0,1,0,0,0
Edge Rover,['G'],0,0,0,1,0,0
Edgewall Inn,['Colorless'],1,0,0,0,0,0
Edgewall Pack,['R'],0,1,0,0,0,0
Eerie Gravestone,['Colorless'],1,0,0,0,0,0
Eerie Interference,['W'],0,0,0,0,0,1
Effortless Master,"[R, U]",0,1,1,0,0,0
Ego Drain,['B'],0,0,0,0,1,0
Eject,['U'],0,0,1,0,0,0
Electro Assaulting Battery,['R'],0,1,0,0,0,0
Electroduplicate,['R'],0,1,0,0,0,0
Electros Bolt,['R'],0,1,0,0,0,0
Elegant Parlor,['Colorless'],1,0,0,0,0,0
Elegy Acolyte,['B'],0,0,0,0,1,0
Elementalist Adept,['U'],0,0,1,0,0,0
Elenda Saint of Dusk,"[B, W]",0,0,0,0,1,1
Elfsworn Giant,['G'],0,0,0,1,0,0
Eliminate the Impossible,['U'],0,0,1,0,0,0
Elixir,['Colorless'],1,0,0,0,0,0
Elspeths Smite,['W'],0,0,0,0,0,1
Elspeth Storm Slayer,['W'],0,0,0,0,0,1
Eluge the Shoreless Sea,['U'],0,0,1,0,0,0
Elusive Otter  Groves Bounty,['U'],0,0,1,0,0,0
Elvish Archdruid,['G'],0,0,0,1,0,0
Elvish Archivist,['G'],0,0,0,1,0,0
Elvish Refueler,['G'],0,0,0,1,0,0
Elvish Regrower,['G'],0,0,0,1,0,0
Embalmed Ascendant,"[B, W]",0,0,0,0,1,1
Embereth Veteran,['R'],0,1,0,0,0,0
Emberheart Challenger,['R'],0,1,0,0,0,0
Embermouth Sentinel,['Colorless'],1,0,0,0,0,0
Embrace Oblivion,['B'],0,0,0,0,1,0
Emerge from the Cocoon,['W'],0,0,0,0,0,1
Emergency Eject,['W'],0,0,0,0,0,1
Emergent Haunting,['U'],0,0,1,0,0,0
Emet-Selch Unsundered  Hades Sorcerer of Eld,['Colorless'],1,0,0,0,0,0
Emissary Escort,['U'],0,0,1,0,0,0
Empyrean Eagle,"[U, W]",0,0,1,0,0,1
Encroaching Dragonstorm,['G'],0,0,0,1,0,0
Endrider Catalyzer,['R'],0,1,0,0,0,0
Endrider Spikespitter,['R'],0,1,0,0,0,0
Enduring Courage,['R'],0,1,0,0,0,0
Enduring Curiosity,['U'],0,0,1,0,0,0
Enduring Innocence,['W'],0,0,0,0,0,1
Enduring Tenacity,['B'],0,0,0,0,1,0
Enduring Vitality,['G'],0,0,0,1,0,0
Engine Rat,['B'],0,0,0,0,1,0
Enigma Drake,"[R, U]",0,1,1,0,0,0
Enterprising Scallywag,['R'],0,1,0,0,0,0
Enter the Enigma,['U'],0,0,1,0,0,0
Entity Tracker,['U'],0,0,1,0,0,0
Entropic Battlecruiser,['B'],0,0,0,0,1,0
Envoy of Okinec Ahau,['W'],0,0,0,0,0,1
Equilibrium Adept,['R'],0,1,0,0,0,0
Eriette of the Charmed Apple,"[B, W]",0,0,0,0,1,1
Eriettes Lullaby,['W'],0,0,0,0,0,1
Eriettes Tempting Apple,['Colorless'],1,0,0,0,0,0
Eriettes Whisper,['B'],0,0,0,0,1,0
Eriette the Beguiler,"[B, U, W]",0,0,1,0,1,1
Eroded Canyon,['Colorless'],1,0,0,0,0,0
Erratic Apparition,['U'],0,0,1,0,0,0
Ertha Jo Frontier Mentor,"[R, W]",0,1,0,0,0,1
Erudite Wizard,['U'],0,0,1,0,0,0
Escape Tunnel,['Colorless'],1,0,0,0,0,0
Eshki Dragonclaw,"[G, R, U]",0,1,1,1,0,0
Esoteric Duplicator,['U'],0,0,1,0,0,0
Esper Origins  Summon Esper Maduin,['Colorless'],1,0,0,0,0,0
Essence Anchor,['U'],0,0,1,0,0,0
Essence Channeler,['W'],0,0,0,0,0,1
Essence of Antiquity,['W'],0,0,0,0,0,1
Essence Scatter,['U'],0,0,1,0,0,0
Etali Primal Storm,['R'],0,1,0,0,0,0
Etalis Favor,['R'],0,1,0,0,0,0
Etched Cornfield,['Colorless'],1,0,0,0,0,0
Ether,['U'],0,0,1,0,0,0
Ethereal Armor,['W'],0,0,0,0,0,1
Etrata Deadly Fugitive,"[B, U]",0,0,1,0,1,0
Eumidian Terrabotanist,['G'],0,0,0,1,0,0
Eusocial Engineering,['G'],0,0,0,1,0,0
Evendo Waking Haven,['Colorless'],1,0,0,0,0,0
Evidence Examiner,"[G, U]",0,0,1,1,0,0
Evil Reawakened,['B'],0,0,0,0,1,0
Evolving Wilds,['Colorless'],1,0,0,0,0,0
Exalted Sunborn,['W'],0,0,0,0,0,1
Excalibur II,['Colorless'],1,0,0,0,0,0
Exclusion Mage,['U'],0,0,1,0,0,0
Exdeath Void Warlock  Neo Exdeath Dimensions End,['Colorless'],1,0,0,0,0,0
Exemplar of Light,['W'],0,0,0,0,0,1
Exit Specialist,['U'],0,0,1,0,0,0
Exorcise,['W'],0,0,0,0,0,1
Exosuit Savior,['W'],0,0,0,0,0,1
Expedited Inheritance,['R'],0,1,0,0,0,0
Expedition Map,['Colorless'],1,0,0,0,0,0
Expel the Interlopers,['W'],0,0,0,0,0,1
Experimental Confectioner,['B'],0,0,0,0,1,0
Explorers Cache,['G'],0,0,0,1,0,0
Explosive Derailment,['R'],0,1,0,0,0,0
Explosive Getaway,"[R, W]",0,1,0,0,0,1
Expose the Culprit,['R'],0,1,0,0,0,0
Exsanguinate,['B'],0,0,0,0,1,0
Extinguisher Battleship,['Colorless'],1,0,0,0,0,0
Extract a Confession,['B'],0,0,0,0,1,0
Extraordinary Journey,['U'],0,0,1,0,0,0
Extravagant Replication,['U'],0,0,1,0,0,0
Ezekiel Sims Spider-Totem,['G'],0,0,0,1,0,0
Ezrim Agency Chief,"[U, W]",0,0,1,0,0,1
Fabled Passage,['Colorless'],1,0,0,0,0,0
Fabrication Foundry,['W'],0,0,0,0,0,1
Faebloom Trick,['U'],0,0,1,0,0,0
Fae Flight,['U'],0,0,1,0,0,0
Faerie Dreamthief,['B'],0,0,0,0,1,0
Faerie Fencing,['B'],0,0,0,0,1,0
Faerie Slumber Party,['U'],0,0,1,0,0,0
Faerie Snoop,"[B, U]",0,0,1,0,1,0
Failed Fording,['U'],0,0,1,0,0,0
Fake Your Own Death,['B'],0,0,0,0,1,0
Fallers Faithful,['B'],0,0,0,0,1,0
Family Reunion,['W'],0,0,0,0,0,1
Famished Worldsire,['G'],0,0,0,1,0,0
Fanatical Firebrand,['R'],0,1,0,0,0,0
Fanatical Offering,['B'],0,0,0,0,1,0
Fanatical Strength,['G'],0,0,0,1,0,0
Fanatic of the Harrowing,['B'],0,0,0,0,1,0
Fang-Druid Summoner,['G'],0,0,0,1,0,0
Fang Fearless lCie,['B'],0,0,0,0,1,0
Fang Guardian,['G'],0,0,0,1,0,0
Fangkeepers Familiar,"[B, G, U]",0,0,1,1,1,0
Far Fortune End Boss,"[B, R]",0,1,0,0,1,0
Farsight Ritual,['U'],0,0,1,0,0,0
Fate of the Sun-Cryst,['W'],0,0,0,0,0,1
Faunsbane Troll,"[B, G]",0,0,0,1,1,0
Fblthp Lost on the Range,['U'],0,0,1,0,0,0
Fearless Swashbuckler,"[R, U]",0,1,1,0,0,0
Fear of Abduction,['W'],0,0,0,0,0,1
Fear of Being Hunted,['R'],0,1,0,0,0,0
Fear of Burning Alive,['R'],0,1,0,0,0,0
Fear of Exposure,['G'],0,0,0,1,0,0
Fear of Failed Tests,['U'],0,0,1,0,0,0
Fear of Falling,['U'],0,0,1,0,0,0
Fear of Immobility,['W'],0,0,0,0,0,1
Fear of Impostors,['U'],0,0,1,0,0,0
Fear of Infinity,"[B, U]",0,0,1,0,1,0
Fear of Isolation,['U'],0,0,1,0,0,0
Fear of Lost Teeth,['B'],0,0,0,0,1,0
Fear of Missing Out,['R'],0,1,0,0,0,0
Fear of Surveillance,['W'],0,0,0,0,0,1
Fear of the Dark,['B'],0,0,0,0,1,0
Feather of Flight,['W'],0,0,0,0,0,1
Fecund Greenshell,['G'],0,0,0,1,0,0
Feed the Cauldron,['B'],0,0,0,0,1,0
Feed the Cycle,['B'],0,0,0,0,1,0
Feed the Swarm,['B'],0,0,0,0,1,0
Feldons Cane,['Colorless'],1,0,0,0,0,0
Felidar Cub,['W'],0,0,0,0,0,1
Felidar Retreat,['W'],0,0,0,0,0,1
Felidar Savior,['W'],0,0,0,0,0,1
Fell,['B'],0,0,0,0,1,0
Fell Gravship,['B'],0,0,0,0,1,0
Fell Horseman  Deathly Ride,['B'],0,0,0,0,1,0
Felling Blow,['G'],0,0,0,1,0,0
Felonious Rage,['R'],0,1,0,0,0,0
Felothar Dawn of the Abzan,"[B, G, W]",0,0,0,1,1,1
Feral Deathgorger  Dusk Sight,['B'],0,0,0,0,1,0
Feral Encounter,['G'],0,0,0,1,0,0
Ferocification,['R'],0,1,0,0,0,0
Ferocious Werefox  Guard Change,['G'],0,0,0,1,0,0
Festering Gulch,['Colorless'],1,0,0,0,0,0
Festerleech,['B'],0,0,0,0,1,0
Festival of Embers,['R'],0,1,0,0,0,0
Fiendish Panda,"[B, W]",0,0,0,0,1,1
Fierce Empath,['G'],0,0,0,1,0,0
Fiery Annihilation,['R'],0,1,0,0,0,0
Fight On,['B'],0,0,0,0,1,0
Finale of Revelation,['U'],0,0,1,0,0,0
Final Showdown,['W'],0,0,0,0,0,1
Final Vengeance,['B'],0,0,0,0,1,0
Finch Formation,['U'],0,0,1,0,0,0
Finneas Ace Archer,"[G, W]",0,0,0,1,0,1
Firebrand Archer,['R'],0,1,0,0,0,0
Fire Elemental,['R'],0,1,0,0,0,0
Fireglass Mentor,"[B, R]",0,1,0,0,1,0
Fire Magic,['R'],0,1,0,0,0,0
Fire-Rim Form,['R'],0,1,0,0,0,0
Fireshrieker,['Colorless'],1,0,0,0,0,0
Firespitter Whelp,['R'],0,1,0,0,0,0
Firion Wild Rose Warrior,['R'],0,1,0,0,0,0
Fishing Pole,['Colorless'],1,0,0,0,0,0
Flamecache Gecko,['R'],0,1,0,0,0,0
Flamehold Grappler,"[R, U, W]",0,1,1,0,0,1
Flame Lash,['R'],0,1,0,0,0,0
Flamewake Phoenix,['R'],0,1,0,0,0,0
Flashfreeze,['U'],0,0,1,0,0,0
Flash Thompson Spider-Fan,['W'],0,0,0,0,0,1
Fleeting Distraction,['U'],0,0,1,0,0,0
Fleeting Effigy,['R'],0,1,0,0,0,0
Fleeting Flight,['W'],0,0,0,0,0,1
Fleeting Reflection,['U'],0,0,1,0,0,0
Flesh Burrower,['G'],0,0,0,1,0,0
Flick a Coin,['R'],0,1,0,0,0,0
Flight-Deck Coordinator,['W'],0,0,0,0,0,1
Floodfarm Verge,['Colorless'],1,0,0,0,0,0
