name,type_line,oracle_text,colors,cmc,rarity,set_name,released_at,power,toughness,keywords,image_uri
Clifftop Lookout,Creature — Frog Scout,"Reach
When this creature enters, reveal cards from the top of your library until you reveal a land card. Put that card onto the battlefield tapped and the rest on the bottom of your library in a random order.",G,3.0,uncommon,Bloomburrow,2024-08-02,1,2,Reach,https://cards.scryfall.io/normal/front/6/6/662d3bcc-65f3-4c69-8ea1-446870a1193d.jpg?1721426786
Clinquant Skymage,Creature — Bird Wizard,"Flying
Whenever you draw a card, put a +1/+1 counter on this creature.",U,4.0,uncommon,Foundations,2024-11-15,1,1,Flying,https://cards.scryfall.io/normal/front/3/6/36012810-0e83-4640-8ba7-7262229f1b84.jpg?1730488711
"Clive, Ifrit's Dominant // Ifrit, Warden of Inferno",Legendary Creature — Human Noble Warrior // Legendary Enchantment Creature — Saga Demon,,Colorless,6.0,mythic,Final Fantasy,2025-06-13,,,"Transform,Fight",
Clive's Hideaway,Land — Town,"Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.)
{T}: Add {C}.
{2}, {T}: You may play the exiled card without paying its mana cost if you control four or more legendary creatures.",Colorless,0.0,rare,Final Fantasy,2025-06-13,,,Hideaway,https://cards.scryfall.io/normal/front/5/e/5e43c36f-b8a2-4b2b-b2ea-57e6fa97521c.jpg?1748706815
Clockwork Percussionist,Artifact Creature — Monkey Toy,"Haste
When this creature dies, exile the top card of your library. You may play it until the end of your next turn.",R,1.0,common,Duskmourn: House of Horror,2024-09-27,1,1,Haste,https://cards.scryfall.io/normal/front/1/0/10986e5a-9fc6-41e2-8352-289328245171.jpg?1726286332
Close Encounter,Instant,"As an additional cost to cast this spell, choose a creature you control or a warped creature card you own in exile.
Close Encounter deals damage equal to the power of the chosen creature or card to target creature.",G,2.0,uncommon,Edge of Eternities,2025-08-01,,,,https://cards.scryfall.io/normal/front/a/8/a8a77351-9115-470f-8141-222c1916b337.jpg?1752947272
Cloudblazer,Creature — Human Scout,"Flying
When this creature enters, you gain 2 life and draw two cards.","U,W",5.0,uncommon,Foundations,2024-11-15,2,2,Flying,https://cards.scryfall.io/normal/front/a/9/a9c966ab-0d92-4fa7-8a91-1f77089d8fc7.jpg?1730491074
Cloudbound Moogle,Creature — Moogle,"Flying
When this creature enters, put a +1/+1 counter on target creature.
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",W,5.0,common,Final Fantasy,2025-06-13,2,3,"Flying,Plainscycling,Landcycling,Typecycling,Cycling",https://cards.scryfall.io/normal/front/7/3/7387bca7-f496-45da-a0ac-6be049303a8f.jpg?1748705792
"Cloud, Midgar Mercenary",Legendary Creature — Human Soldier Mercenary,"When Cloud enters, search your library for an Equipment card, reveal it, put it into your hand, then shuffle.
As long as Cloud is equipped, if an ability of Cloud or an Equipment attached to it triggers, that ability triggers an additional time.",W,2.0,mythic,Final Fantasy,2025-06-13,2,1,,https://cards.scryfall.io/normal/front/2/c/2cf7e8a3-fad7-413d-b17c-7519a9cf5fb5.jpg?1748705791
Cloud of Darkness,Legendary Creature — Avatar,"Flying
Particle Beam — When Cloud of Darkness enters, target creature an opponent controls gets -X/-X until end of turn, where X is the number of permanent cards in your graveyard.","B,G",5.0,uncommon,Final Fantasy,2025-06-13,3,3,"Particle Beam,Flying",https://cards.scryfall.io/normal/front/a/2/a292094a-674a-401f-8776-ba5ebe57c946.jpg?1748706571
"Cloud, Planet's Champion",Legendary Creature — Human Soldier Mercenary,"During your turn, as long as Cloud is equipped, it has double strike and indestructible. (This creature deals both first-strike and regular combat damage. Damage and effects that say ""destroy"" don't destroy this creature.)
Equip abilities you activate that target Cloud cost {2} less to activate.","R,W",5.0,mythic,Final Fantasy,2025-06-13,4,4,,https://cards.scryfall.io/normal/front/a/6/a6d58067-337d-43dc-b4a3-c6acc701d450.jpg?1749021792
Cloudsculpt Technician,Creature — Jellyfish Artificer,"Flying
As long as you control an artifact, this creature gets +1/+0.",U,3.0,common,Edge of Eternities,2025-08-01,1,4,Flying,https://cards.scryfall.io/normal/front/5/1/51077a54-15cf-4088-8e84-088d72e8e861.jpg?1752946745
Cloudspire Captain,Creature — Human Pilot,"Mounts and Vehicles you control get +1/+1.
This creature saddles Mounts and crews Vehicles as though its power were 2 greater.",W,3.0,uncommon,Aetherdrift,2025-02-14,2,3,,https://cards.scryfall.io/normal/front/3/3/3380d87a-c460-409c-8d47-9b2fc5ddd2ea.jpg?1738356123
Cloudspire Coordinator,Creature — Human Pilot,"When this creature enters, scry 2.
{T}: Create X 1/1 colorless Pilot creature tokens, where X is the number of Mounts and/or Vehicles that entered the battlefield under your control this turn. The tokens have ""This token saddles Mounts and crews Vehicles as though its power were 2 greater.""","R,W",2.0,uncommon,Aetherdrift,2025-02-14,3,1,Scry,https://cards.scryfall.io/normal/front/e/e/eef16cda-9150-4e7d-8490-d9f287b81b62.jpg?1738356610
Cloudspire Skycycle,Artifact — Vehicle,"Flying
When this Vehicle enters, distribute two +1/+1 counters among one or two other target Vehicles and/or creatures you control.
Crew 1","R,W",4.0,uncommon,Aetherdrift,2025-02-14,2,3,"Flying,Crew",https://cards.scryfall.io/normal/front/8/8/881f01a4-a923-4d56-bacb-984a389296fa.jpg?1738356611
Coalstoke Gearhulk,Artifact Creature — Construct,"Menace, deathtouch
When this creature enters, put target creature card with mana value 4 or less from a graveyard onto the battlefield under your control with a finality counter on it. That creature gains menace, deathtouch, and haste. At the beginning of your next end step, exile that creature.","B,R",5.0,mythic,Aetherdrift,2025-02-14,5,4,"Menace,Deathtouch",https://cards.scryfall.io/normal/front/7/3/73431628-b9b0-41e6-8e9b-8a090939b0c1.jpg?1738356621
Coati Scavenger,Creature — Raccoon,"Descend 4 — When this creature enters, if there are four or more permanent cards in your graveyard, return target permanent card from your graveyard to your hand.",G,3.0,uncommon,The Lost Caverns of Ixalan,2023-11-17,3,2,Descend,https://cards.scryfall.io/normal/front/d/2/d2c70d86-1764-487d-a415-15ae79ba570c.jpg?1699044379
Codecracker Hound,Creature — Dog,"When this creature enters, look at the top two cards of your library. Put one into your hand and the other into your graveyard.
Warp {2}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",U,3.0,uncommon,Edge of Eternities,2025-08-01,2,1,Warp,https://cards.scryfall.io/normal/front/6/7/6723b891-6013-4ec6-b439-2233d270dc48.jpg?1752946747
Coerced to Kill,Enchantment — Aura,"Enchant creature
You control enchanted creature.
Enchanted creature has base power and toughness 1/1, has deathtouch, and is an Assassin in addition to its other types.","B,U",5.0,uncommon,Murders at Karlov Manor,2024-02-09,,,Enchant,https://cards.scryfall.io/normal/front/2/d/2dc9f352-5076-4b5f-9815-cf47abb63d5b.jpg?1706242132
Coeurl,Creature — Cat Beast,"{1}{W}, {T}: Tap target nonenchantment creature.",W,2.0,common,Final Fantasy,2025-06-13,2,2,,https://cards.scryfall.io/normal/front/7/6/7604b534-5480-42fa-bc36-bbae730f8582.jpg?1748705798
Cogwork Wrestler,Artifact Creature — Gnome,"Flash
When this creature enters, target creature an opponent controls gets -2/-0 until end of turn.",U,1.0,common,The Lost Caverns of Ixalan,2023-11-17,1,2,Flash,https://cards.scryfall.io/normal/front/a/9/a9d329ad-6b19-4aa7-a53f-38c7b76c4c96.jpg?1699043571
Coiling Rebirth,Sorcery,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Return target creature card from your graveyard to the battlefield. Then if the gift was promised and that creature isn't legendary, create a token that's a copy of that creature, except it's 1/1.",B,5.0,rare,Bloomburrow,2024-08-02,,,Gift,https://cards.scryfall.io/normal/front/9/6/96d5de3e-0440-4dd1-899c-ab40c0752343.jpg?1721426359
Cold Case Cracker,Creature — Spirit Detective,"Flying
When this creature dies, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",U,4.0,common,Murders at Karlov Manor,2024-02-09,3,3,"Flying,Investigate",https://cards.scryfall.io/normal/front/f/0/f082111b-9b1c-4a25-8c5d-d6ef77533a9b.jpg?1706241576
Coliseum Behemoth,Creature — Beast,"Trample
When this creature enters, choose one —
• Destroy target artifact or enchantment.
• Draw a card.",G,7.0,uncommon,Final Fantasy,2025-06-13,7,7,Trample,https://cards.scryfall.io/normal/front/9/0/900206f1-7dd6-4db9-a430-73e560fd196b.jpg?1748706435
Collector's Cage,Artifact,"Hideaway 5 (When this artifact enters, look at the top five cards of your library, exile one face down, then put the rest on the bottom in a random order.)
{1}, {T}: Put a +1/+1 counter on target creature you control. Then if you control three or more creatures with different powers, you may play the exiled card without paying its mana cost.",W,2.0,mythic,The Big Score,2024-04-19,,,Hideaway,https://cards.scryfall.io/normal/front/a/3/a33703bb-51c0-4d57-9d06-1148507ddc4f.jpg?1739804143
Collector's Vault,Artifact,"{2}, {T}: Draw a card, then discard a card. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",Colorless,2.0,uncommon,Wilds of Eldraine,2023-09-08,,,Treasure,https://cards.scryfall.io/normal/front/9/6/967a4f27-8cd6-437d-8c05-8aedbc7ddc4b.jpg?1692939859
Collision Course,Sorcery,"Choose one —
• Collision Course deals X damage to target creature, where X is the number of permanents you control that are creatures and/or Vehicles.
• Destroy target artifact.",W,2.0,common,Aetherdrift,2025-02-14,,,,https://cards.scryfall.io/normal/front/6/b/6b60da34-b622-42de-a249-79545bcbf30d.jpg?1738356124
Colossadactyl,Creature — Dinosaur,"Reach, trample",G,4.0,uncommon,The Lost Caverns of Ixalan,2023-11-17,4,5,"Reach,Trample",https://cards.scryfall.io/normal/front/8/7/8702e776-be2c-48a9-9bc5-bb8ea514333b.jpg?1699044383
Colossal Rattlewurm,Creature — Wurm,"Colossal Rattlewurm has flash as long as you control a Desert.
Trample
{1}{G}, Exile this card from your graveyard: Search your library for a Desert card, put it onto the battlefield tapped, then shuffle.",G,4.0,rare,Outlaws of Thunder Junction,2024-04-19,6,5,Trample,https://cards.scryfall.io/normal/front/1/7/17a104d3-e4ac-44a0-9c6a-39965b1b9751.jpg?1712355903
Colossification,Enchantment — Aura,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature gets +20/+20.",G,7.0,rare,Bloomburrow,2024-08-02,,,Enchant,https://cards.scryfall.io/normal/front/c/2/c2cad902-ffd2-4bab-b114-b4b6df2ac6b3.jpg?1721428099
Combat Tutorial,Sorcery,Target player draws two cards. Put a +1/+1 counter on up to one target creature you control.,U,3.0,common,Final Fantasy,2025-06-13,,,,https://cards.scryfall.io/normal/front/e/c/ec195607-ac30-4931-acfd-f9d8ac8b047f.jpg?1748705932
Come Back Wrong,Sorcery,"Destroy target creature. If a creature card is put into a graveyard this way, return it to the battlefield under your control. Sacrifice it at the beginning of your next end step.",B,3.0,rare,Duskmourn: House of Horror,2024-09-27,,,,https://cards.scryfall.io/normal/front/7/2/72ee3b45-aa4e-4c5b-a9e6-608bfbd93f8b.jpg?1726286171
Comet Crawler,Creature — Insect Horror,"Lifelink
Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, this creature gets +2/+0 until end of turn.",B,3.0,common,Edge of Eternities,2025-08-01,2,3,Lifelink,https://cards.scryfall.io/normal/front/b/e/becca990-ab2e-4aa4-be7d-293ec727cb08.jpg?1753683182
Command Bridge,Land,"This land enters tapped.
When this land enters, sacrifice it unless you tap an untapped permanent you control.
{T}: Add one mana of any color.",Colorless,0.0,common,Edge of Eternities,2025-08-01,,,,https://cards.scryfall.io/normal/front/2/4/247670d2-a7cd-4ed7-9c77-704c7962b815.jpg?1752947586
Commercial District,Land — Mountain Forest,"({T}: Add {R} or {G}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",Colorless,0.0,rare,Murders at Karlov Manor,2024-02-09,,,Surveil,https://cards.scryfall.io/normal/front/b/f/bf220c06-3cce-4bdd-aa58-83940c223e9c.jpg?1759236510
Common Crook,Creature — Human Rogue Villain,"When this creature dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",B,2.0,common,Marvel's Spider-Man,2025-09-26,2,2,Treasure,https://cards.scryfall.io/normal/front/6/f/6f5872df-e692-44aa-b18d-22447f5f274c.jpg?1757377079
Commune with Beavers,Sorcery,"Look at the top three cards of your library. You may reveal an artifact, creature, or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",G,1.0,common,Final Fantasy,2025-06-13,,,,https://cards.scryfall.io/normal/front/7/8/784287c2-43c5-4210-93ae-cdd33b9acb1b.jpg?1748706441
Commune with Evil,Sorcery,Look at the top four cards of your library. Put one of them into your hand and the rest into your graveyard. You gain 3 life.,B,3.0,uncommon,Duskmourn: House of Horror,2024-09-27,,,,https://cards.scryfall.io/normal/front/9/a/9ab94ebe-b51b-4c6f-af43-0ed80e2808a3.jpg?1726286174
Commune with Nature,Sorcery,Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.,G,1.0,common,Wilds of Eldraine,2023-09-08,,,,https://cards.scryfall.io/normal/front/5/2/5224eec3-2941-4d16-a713-099e34e93eee.jpg?1692938760
Compass Gnome,Artifact Creature — Gnome,"When this creature enters, you may search your library for a basic land card or Cave card, reveal it, then shuffle and put that card on top.",Colorless,2.0,common,The Lost Caverns of Ixalan,2023-11-17,2,1,,https://cards.scryfall.io/normal/front/1/0/10e1030e-2b95-4807-9111-e495a2fc8813.jpg?1699387300
Concealed Courtyard,Land,"This land enters tapped unless you control two or fewer other lands.
{T}: Add {W} or {B}.",Colorless,0.0,rare,Outlaws of Thunder Junction,2024-04-19,,,,https://cards.scryfall.io/normal/front/b/7/b75df1f0-0513-40e4-a449-454f75de6434.jpg?1712356373
Concealed Weapon,Artifact — Equipment,"Equipped creature gets +3/+0.
Disguise {2}{R} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this Equipment is turned face up, attach it to target creature you control.
Equip {1}{R}",R,2.0,uncommon,Murders at Karlov Manor,2024-02-09,,,"Disguise,Equip",https://cards.scryfall.io/normal/front/3/8/38e31fa6-a445-47c6-a73f-135087f6d760.jpg?1706241834
Conceited Witch // Price of Beauty,Creature — Human Warlock // Sorcery — Adventure,,B,3.0,common,Wilds of Eldraine,2023-09-08,2,3,"Role token,Menace",https://cards.scryfall.io/normal/front/f/8/f8a0c0f6-fef9-42c5-934d-a2855c11b440.jpg?1692937528
Conduct Electricity,Instant,Conduct Electricity deals 6 damage to target creature and 2 damage to up to one target creature token.,R,5.0,common,Bloomburrow,2024-08-02,,,,https://cards.scryfall.io/normal/front/2/f/2f373dd6-2412-453c-85ba-10230dfe473a.jpg?1721426597
Conductive Machete,Artifact — Equipment,"When this Equipment enters, manifest dread, then attach this Equipment to that creature. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)
Equipped creature gets +2/+1.
Equip {4}",Colorless,4.0,uncommon,Duskmourn: House of Horror,2024-09-27,,,"Manifest,Manifest dread,Equip",https://cards.scryfall.io/normal/front/1/c/1cf37c1a-096b-4306-97cf-bc4d4c47d4a1.jpg?1726286782
Conduit Pylons,Land — Desert,"When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{T}: Add {C}.
{1}, {T}: Add one mana of any color.",Colorless,0.0,common,Outlaws of Thunder Junction,2024-04-19,,,Surveil,https://cards.scryfall.io/normal/front/5/f/5ffa48cc-b991-4d47-b7ec-cf678915c758.jpg?1712356314
Confiscate,Enchantment — Aura,"Enchant permanent
You control enchanted permanent.",U,6.0,uncommon,Foundations,2024-11-15,,,Enchant,https://cards.scryfall.io/normal/front/a/9/a98a1553-e5f3-4c9c-833d-579e82e1708f.jpg?1730572718
Confounding Riddle,Instant,"Choose one —
• Look at the top four cards of your library. Put one of them into your hand and the rest into your graveyard.
• Counter target spell unless its controller pays {4}.",U,3.0,uncommon,The Lost Caverns of Ixalan,2023-11-17,,,,https://cards.scryfall.io/normal/front/f/2/f2ae23db-c391-402c-9568-65447cada66e.jpg?1699043580
Congregation Gryff,Creature — Hippogriff Mount,"Flying, lifelink
Whenever this creature attacks while saddled, it gets +X/+X until end of turn, where X is the number of Mounts you control.
Saddle 3 (Tap any number of other creatures you control with total power 3 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)","G,W",3.0,uncommon,Outlaws of Thunder Junction,2024-04-19,1,4,"Flying,Lifelink,Saddle",https://cards.scryfall.io/normal/front/0/e/0ef4907a-2fc1-42c5-bffc-3b3f93601fb9.jpg?1712356078
Connecting the Dots,Enchantment,"Whenever a creature you control attacks, exile the top card of your library face down. (You can't look at it.)
{1}{R}, Discard your hand, Sacrifice this enchantment: Put all cards exiled with this enchantment into their owners' hands.",R,2.0,rare,Murders at Karlov Manor,2024-02-09,,,,https://cards.scryfall.io/normal/front/8/e/8e02731a-8698-4b41-99c3-f0a19fc31430.jpg?1706241841
Conspiracy Unraveler,Creature — Sphinx Detective,"Flying
You may collect evidence 10 rather than pay the mana cost for spells you cast. (To collect evidence 10, exile cards with total mana value 10 or greater from your graveyard.)",U,7.0,mythic,Murders at Karlov Manor,2024-02-09,6,6,"Flying,Collect evidence",https://cards.scryfall.io/normal/front/8/8/88e791fc-bf9f-49b6-b5f2-a24d4b3e360e.jpg?1706241576
Constrictor Sage,Creature — Snake Wizard,"When this creature enters, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Renew — {2}{U}, Exile this card from your graveyard: Tap target creature an opponent controls and put a stun counter on it. Activate only as a sorcery.",U,5.0,uncommon,Tarkir: Dragonstorm,2025-04-11,4,4,Renew,https://cards.scryfall.io/normal/front/b/2/b2f160d7-c832-4b83-8f2e-aaeb190add3f.jpg?1743233749
Consult the Star Charts,Instant,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)
Look at the top X cards of your library, where X is the number of lands you control. Put one of those cards into your hand. If this spell was kicked, put two of those cards into your hand instead. Put the rest on the bottom of your library in a random order.",U,2.0,rare,Edge of Eternities,2025-08-01,,,Kicker,https://cards.scryfall.io/normal/front/a/1/a16a6555-2e3a-4587-aacd-0307d696b26c.jpg?1752946753
Consumed by Greed,Instant,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Target opponent sacrifices a creature with the greatest power among creatures they control. If the gift was promised, return target creature card from your graveyard to your hand.",B,3.0,uncommon,Bloomburrow,2024-08-02,,,Gift,https://cards.scryfall.io/normal/front/e/5/e50acc41-3517-42db-b1d3-1bdfd7294d84.jpg?1721426362
Consuming Aberration,Creature — Horror,"Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards.
Whenever you cast a spell, each opponent reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.","B,U",5.0,rare,Tarkir: Dragonstorm Commander,2025-04-11,*,*,,https://cards.scryfall.io/normal/front/4/9/497fba45-201d-4688-b420-d093beb4e8f4.jpg?1743207091
Consuming Ashes,Instant,"Exile target creature. If it had mana value 3 or less, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",B,4.0,common,Outlaws of Thunder Junction,2024-04-19,,,Surveil,https://cards.scryfall.io/normal/front/5/4/54f96be9-60fc-4e2f-9172-4cc53c9a095a.jpg?1712355566
Contested Game Ball,Artifact,"Whenever you're dealt combat damage, the attacking player gains control of this artifact and untaps it.
{2}, {T}: Draw a card and put a point counter on this artifact. Then if it has five or more point counters on it, sacrifice it and create a Treasure token.",Colorless,2.0,uncommon,The Lost Caverns of Ixalan,2023-11-17,,,Treasure,https://cards.scryfall.io/normal/front/7/1/71cb7776-a6af-4efb-b536-6b9b4f3d3874.jpg?1699044604
Convenient Target,Enchantment — Aura,"Enchant creature
When this Aura enters, suspect enchanted creature. (It has menace and can't block.)
Enchanted creature gets +1/+1.
{2}{R}: Return this card from your graveyard to your hand.",R,1.0,uncommon,Murders at Karlov Manor,2024-02-09,,,Enchant,https://cards.scryfall.io/normal/front/2/d/2d2cf2ae-9152-41c4-9dc4-a19da5812869.jpg?1706241843
Cooped Up,Enchantment — Aura,"Enchant creature
Enchanted creature can't attack or block.
{2}{W}: Exile enchanted creature.",W,2.0,common,Wilds of Eldraine,2023-09-08,,,Enchant,https://cards.scryfall.io/normal/front/8/a/8acb8758-09c5-4e19-ada1-904e36ece1fc.jpg?1692936384
Coordinated Clobbering,Sorcery,Tap one or two target untapped creatures you control. They each deal damage equal to their power to target creature an opponent controls.,G,1.0,uncommon,Duskmourn: House of Horror,2024-09-27,,,,https://cards.scryfall.io/normal/front/d/4/d498cd5d-5807-4297-bc8a-c0941f2f5ce2.jpg?1726286504
Coordinated Maneuver,Instant,"Choose one —
• Coordinated Maneuver deals damage equal to the number of creatures you control to target creature or planeswalker.
• Destroy target enchantment.",W,2.0,common,Tarkir: Dragonstorm,2025-04-11,,,,https://cards.scryfall.io/normal/front/c/6/c6569487-53c5-4b91-877d-e4e31bfa90c0.jpg?1743203976
Coral Sword,Artifact — Equipment,"Flash
When this Equipment enters, attach it to target creature you control. That creature gains first strike until end of turn.
Equipped creature gets +1/+0.
Equip {1}",R,1.0,uncommon,Final Fantasy,2025-06-13,,,"Equip,Flash",https://cards.scryfall.io/normal/front/1/3/13e81e32-7246-46b9-872e-cde77cedd197.jpg?1748706265
Cori Mountain Monastery,Land,"This land enters tapped unless you control a Plains or an Island.
{T}: Add {R}.
{3}{R}, {T}: Exile the top card of your library. Until the end of your next turn, you may play that card.",Colorless,0.0,rare,Tarkir: Dragonstorm,2025-04-11,,,,https://cards.scryfall.io/normal/front/9/3/9312821a-2059-4f44-9b20-c9522b827e38.jpg?1743204997
Cori Mountain Stalwart,Creature — Human Monk,"Flurry — Whenever you cast your second spell each turn, this creature deals 2 damage to each opponent and you gain 2 life.","R,W",3.0,uncommon,Tarkir: Dragonstorm,2025-04-11,3,3,Flurry,https://cards.scryfall.io/normal/front/b/6/b6cbf54e-f30e-4e7b-b17c-217fa424971c.jpg?1743204677
Cornered by Black Mages,Sorcery,"Target opponent sacrifices a creature of their choice.
Create a 0/1 black Wizard creature token with ""Whenever you cast a noncreature spell, this token deals 1 damage to each opponent.""",B,3.0,common,Final Fantasy,2025-06-13,,,,https://cards.scryfall.io/normal/front/6/8/688fcf8a-0a44-416a-8086-83acf9a6fe69.jpg?1748706113
Cornered Crook,Creature — Lizard Warrior,"When this creature enters, you may sacrifice an artifact. When you do, this creature deals 3 damage to any target.",R,5.0,uncommon,Murders at Karlov Manor,2024-02-09,5,4,,https://cards.scryfall.io/normal/front/a/3/a3aff1ea-1d25-49c3-a2d9-f435124a5969.jpg?1706241844
Corpseberry Cultivator,Creature — Squirrel Warlock,"At the beginning of combat on your turn, you may forage. (Exile three cards from your graveyard or sacrifice a Food.)
Whenever you forage, put a +1/+1 counter on this creature.","B,G",3.0,common,Bloomburrow,2024-08-02,2,3,Forage,https://cards.scryfall.io/normal/front/c/9/c911a759-ed7b-452b-88a3-663478357610.jpg?1721427036
Corpses of the Lost,Enchantment,"Skeletons you control get +1/+0 and have haste.
When this enchantment enters, create a 2/2 black Skeleton Pirate creature token.
At the beginning of your end step, if you descended this turn, you may pay 1 life. If you do, return this enchantment to its owner's hand. (You descended if a permanent card was put into your graveyard from anywhere.)",B,3.0,rare,The Lost Caverns of Ixalan,2023-11-17,,,,https://cards.scryfall.io/normal/front/5/f/5f661095-3645-4e44-ac39-752e417c2174.jpg?1699044112
Corroding Dragonstorm,Enchantment,"When this enchantment enters, each opponent loses 2 life and you gain 2 life. Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
When a Dragon you control enters, return this enchantment to its owner's hand.",B,2.0,uncommon,Tarkir: Dragonstorm,2025-04-11,,,Surveil,https://cards.scryfall.io/normal/front/e/2/e2a2d395-26d6-4eb2-9e8c-ed7dbbd3a8f5.jpg?1743204259
Corrupted Conviction,Instant,"As an additional cost to cast this spell, sacrifice a creature.
Draw two cards.",B,1.0,common,Outlaws of Thunder Junction,2024-04-19,,,,https://cards.scryfall.io/normal/front/8/0/8046f892-3317-4ef7-9cf7-97b9060540c8.jpg?1712355575
Corsair Captain,Creature — Human Pirate,"When this creature enters, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")
Other Pirates you control get +1/+1.",U,3.0,rare,Foundations,2024-11-15,2,2,Treasure,https://cards.scryfall.io/normal/front/d/5/d5017dbc-07fd-45ea-9629-7c584144e8be.jpg?1730490522
Coruscation Mage,Creature — Otter Wizard,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.",R,2.0,uncommon,Bloomburrow,2024-08-02,2,2,Offspring,https://cards.scryfall.io/normal/front/d/c/dc2c1de0-6233-469a-be72-a050b97d2c8f.jpg?1721426600
Cosmic Spider-Man,Legendary Creature — Spider Human Hero,"Flying, first strike, trample, lifelink, haste
At the beginning of combat on your turn, other Spiders you control gain flying, first strike, trample, lifelink, and haste until end of turn.","B,G,R,U,W",5.0,mythic,Marvel's Spider-Man,2025-09-26,5,5,"Flying,Lifelink,First strike,Haste,Trample",https://cards.scryfall.io/normal/front/f/8/f82f4013-7308-4917-9042-19a5909f2134.jpg?1757377651
Cosmium Blast,Instant,Cosmium Blast deals 4 damage to target attacking or blocking creature.,W,2.0,common,The Lost Caverns of Ixalan,2023-11-17,,,,https://cards.scryfall.io/normal/front/1/9/193d1eac-ede7-4f75-9c74-05133b215f93.jpg?1699043121
Cosmium Confluence,Sorcery,"Choose three. You may choose the same mode more than once.
• Search your library for a Cave card, put it onto the battlefield tapped, then shuffle.
• Put three +1/+1 counters on a Cave you control. It becomes a 0/0 Elemental creature with haste. It's still a land.
• Destroy target enchantment.",G,5.0,rare,The Lost Caverns of Ixalan,2023-11-17,,,,https://cards.scryfall.io/normal/front/4/9/490a5054-0607-4e4a-a0a9-0e9eea7adb00.jpg?1699044386
Cosmogoyf,Creature — Elemental Lhurgoyf,This creature's power is equal to the number of cards you own in exile and its toughness is equal to that number plus 1.,"B,G",2.0,rare,Edge of Eternities,2025-08-01,*,1+*,,https://cards.scryfall.io/normal/front/5/e/5e07d3c6-60a5-44d1-a926-6414be85bd50.jpg?1752947436
Cosmogrand Zenith,Creature — Human Soldier,"Whenever you cast your second spell each turn, choose one —
• Create two 1/1 white Human Soldier creature tokens.
• Put a +1/+1 counter on each creature you control.",W,3.0,mythic,Edge of Eternities,2025-08-01,2,4,,https://cards.scryfall.io/normal/front/b/3/b3c1e5e3-4e6b-456a-958c-7a75c38f8183.jpg?1752946590
Costume Closet,Artifact,"This artifact enters with two +1/+1 counters on it.
{T}: Move a +1/+1 counter from this artifact onto target creature you control. Activate only as a sorcery.
Whenever a modified creature you control leaves the battlefield, put a +1/+1 counter on this artifact. (Equipment, Auras you control, and counters are modifications.)",W,2.0,uncommon,Marvel's Spider-Man,2025-09-26,,,,https://cards.scryfall.io/normal/front/c/c/cc641f4a-ddbe-4f7d-bb55-eabf11f8b7fb.jpg?1757376764
Council of Echoes,Creature — Spirit Advisor,"Flying
Descend 4 — When this creature enters, if there are four or more permanent cards in your graveyard, return up to one target nonland permanent other than this creature to its owner's hand.",U,6.0,uncommon,The Lost Caverns of Ixalan,2023-11-17,4,4,"Flying,Descend",https://cards.scryfall.io/normal/front/8/5/85ad358d-a520-4d57-82b0-d2297da1fbde.jpg?1699043588
